epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,845.256,1.25714,1.11281,1.08928,0.93521,0.47819,0.96398,0.60115,1.26552,2.092,1.10603,0.000448231,0.000448231,0.000448231
43,862.878,1.28297,1.1114,1.09526,0.93521,0.47819,0.96398,0.60115,1.26552,2.092,1.10603,0.000451382,0.000451382,0.000451382
44,880.371,1.29893,1.12553,1.10611,0.93101,0.50141,0.96299,0.62212,1.22808,2.01236,1.09519,0.000454174,0.000454174,0.000454174
45,897.243,1.27718,1.04597,1.08201,0.93101,0.50141,0.96299,0.62212,1.22808,2.01236,1.09519,0.000456605,0.000456605,0.000456605
46,914.095,1.29108,1.04985,1.07147,0.92193,0.58085,0.94581,0.61012,1.24002,1.90785,1.07157,0.000458677,0.000458677,0.000458677
47,930.964,1.31806,1.10492,1.09359,0.92193,0.58085,0.94581,0.61012,1.24002,1.90785,1.07157,0.000460389,0.000460389,0.000460389
48,948.179,1.3299,1.09748,1.10591,0.91458,0.69837,0.94775,0.60349,1.26198,1.82736,1.06679,0.00046174,0.00046174,0.00046174
49,966.337,1.36985,1.10259,1.13774,0.91458,0.69837,0.94775,0.60349,1.26198,1.82736,1.06679,0.000462732,0.000462732,0.000462732
50,983.477,1.34203,1.09496,1.07295,0.9152,0.74585,0.96344,0.64807,1.16652,1.73398,1.04759,0.000463364,0.000463364,0.000463364
51,1000.25,1.21636,1.00102,1.0875,0.9152,0.74585,0.96344,0.64807,1.16652,1.73398,1.04759,0.000459045,0.000459045,0.000459045
52,1017.17,1.26097,1.02714,1.07022,0.91208,0.80714,0.97765,0.64591,1.17775,1.66509,1.04384,0.000450046,0.000450046,0.000450046
53,1034.14,1.21427,1.01142,1.09104,0.91208,0.80714,0.97765,0.64591,1.17775,1.66509,1.04384,0.000441047,0.000441047,0.000441047
54,1050.94,1.18254,0.9938,1.08581,0.90174,0.83097,0.98266,0.63568,1.2355,1.58297,1.04446,0.000432048,0.000432048,0.000432048
55,1068.21,1.27893,1.03733,1.05449,0.90174,0.83097,0.98266,0.63568,1.2355,1.58297,1.04446,0.000423049,0.000423049,0.000423049
56,1084.91,1.26749,1.02813,1.064,0.88877,0.83848,0.97941,0.6398,1.20862,1.48086,1.02537,0.000414049,0.000414049,0.000414049
57,1101.96,1.19262,1.02082,1.06691,0.88877,0.83848,0.97941,0.6398,1.20862,1.48086,1.02537,0.00040505,0.00040505,0.00040505
58,1118.78,1.20761,0.96372,1.07401,0.8802,0.86912,0.98163,0.6646,1.13881,1.32658,1.0055,0.000396051,0.000396051,0.000396051
59,1135.95,1.22279,1.00799,1.05819,0.8802,0.86912,0.98163,0.6646,1.13881,1.32658,1.0055,0.000387052,0.000387052,0.000387052
60,1153.2,1.26132,1.00302,1.06451,0.88366,0.88152,0.98606,0.68678,1.09828,1.19184,0.99522,0.000378053,0.000378053,0.000378053
61,1170.57,1.2047,0.98656,1.05067,0.88366,0.88152,0.98606,0.68678,1.09828,1.19184,0.99522,0.000369054,0.000369054,0.000369054
62,1188.1,1.21092,0.98823,1.04274,0.88726,0.92663,0.98967,0.68744,1.09102,1.11037,0.99298,0.000360055,0.000360055,0.000360055
63,1204.78,1.20085,0.9443,1.03622,0.88726,0.92663,0.98967,0.68744,1.09102,1.11037,0.99298,0.000351056,0.000351056,0.000351056
64,1222.32,1.23611,0.98996,1.05749,0.88604,0.95282,0.98638,0.6706,1.10327,1.07515,0.99289,0.000342057,0.000342057,0.000342057
65,1239.07,1.19864,0.97383,1.04308,0.88604,0.95282,0.98638,0.6706,1.10327,1.07515,0.99289,0.000333058,0.000333058,0.000333058
66,1256.71,1.17876,0.95639,1.01891,0.9266,0.95113,0.98982,0.66908,1.12804,1.05679,0.99384,0.000324058,0.000324058,0.000324058
67,1273.57,1.1627,0.95659,1.03705,0.9266,0.95113,0.98982,0.66908,1.12804,1.05679,0.99384,0.000315059,0.000315059,0.000315059
68,1290.4,1.15788,0.94209,1.04126,0.94667,0.94002,0.99188,0.6731,1.18073,1.03396,0.99842,0.00030606,0.00030606,0.00030606
69,1307.27,1.16267,0.95873,1.06296,0.94667,0.94002,0.99188,0.6731,1.18073,1.03396,0.99842,0.000297061,0.000297061,0.000297061
70,1324.35,1.1915,0.93693,1.03614,0.93964,0.94907,0.99271,0.6671,1.20338,1.01859,0.99718,0.000288062,0.000288062,0.000288062
71,1341.6,1.17448,0.89802,1.04014,0.93964,0.94907,0.99271,0.6671,1.20338,1.01859,0.99718,0.000279063,0.000279063,0.000279063
72,1358.7,1.24933,0.91017,1.03731,0.91622,0.96845,0.99306,0.66947,1.19921,0.98551,0.99648,0.000270064,0.000270064,0.000270064
